timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1679206201.136069,4,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,35,38000000,20,100,0,34,3332,0.9714285714285714,8.947368421052631e-07,95.2,8.768421052631579e-05,0
1679206201.138624,2,10.0.0.18010.0.0.6362146,10.0.0.1,80,10.0.0.6,36214,6,-1,-1,14,961000000,20,100,0,11,1046,0.7857142857142857,1.1446409989594173e-08,74.71428571428571,1.0884495317377731e-06,0
1679206201.138624,2,10.0.0.18010.0.0.6362166,10.0.0.1,80,10.0.0.6,36216,6,-1,-1,14,944000000,20,100,0,7277,60690932,519.7857142857143,7.708686440677966e-06,4335066.571428572,0.06429124152542373,0
1679206201.138624,2,10.0.0.1505110.0.0.63418417,10.0.0.1,5051,10.0.0.6,34184,17,-1,-1,14,987000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1679206201.138624,2,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,-1,-1,14,612000000,20,100,0,206517,13630134,14751.214285714286,0.00033744607843137254,973581.0,0.022271460784313725,0
1679206201.138624,2,10.0.0.11505010.0.0.6556601,10.0.0.11,5050,10.0.0.6,55660,1,0,0,35,29000000,20,100,0,34,3332,0.9714285714285714,1.1724137931034483e-06,95.2,0.00011489655172413793,0
1679206201.138624,2,10.0.0.63621610.0.0.1806,10.0.0.6,36216,10.0.0.1,80,6,0,0,14,949000000,20,100,0,1408,93042,100.57142857142857,1.4836670179135932e-06,6645.857142857143,9.804214963119073e-05,0
1679206201.138624,2,10.0.0.63621410.0.0.1806,10.0.0.6,36214,10.0.0.1,80,6,0,0,14,967000000,20,100,0,11,842,0.7857142857142857,1.1375387797311271e-08,60.142857142857146,8.707342295760083e-07,0
1679206201.138624,2,10.0.0.63418410.0.0.1505117,10.0.0.6,34184,10.0.0.1,5051,17,0,0,25,18000000,20,100,0,893,1350216,35.72,4.961111111111111e-05,54008.64,0.075012,0
1679206201.138624,2,10.0.0.63418410.0.0.1150511,10.0.0.6,34184,10.0.0.11,5051,1,0,8,35,65000000,20,100,0,34,3332,0.9714285714285714,5.23076923076923e-07,95.2,5.126153846153846e-05,0
1679206201.138624,2,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,8,14,614000000,20,100,0,931768,53337677944,66554.85714285714,0.0015175374592833876,3809834138.857143,86.86918231921824,0
1679206201.138624,2,10.0.0.75117910.0.0.1505117,10.0.0.7,51179,10.0.0.1,5051,17,0,8,4,560000000,20,100,0,397,600264,99.25,7.089285714285714e-07,150066.0,0.0010719,0
1679206201.138957,1,10.0.0.18010.0.0.6362146,10.0.0.1,80,10.0.0.6,36214,6,-1,-1,14,962000000,20,100,0,11,1046,0.7857142857142857,1.1434511434511435e-08,74.71428571428571,1.0873180873180874e-06,0
1679206201.138957,1,10.0.0.18010.0.0.6362166,10.0.0.1,80,10.0.0.6,36216,6,-1,-1,14,946000000,20,100,0,7277,60690932,519.7857142857143,7.692389006342494e-06,4335066.571428572,0.06415531923890064,0
1679206201.138957,1,10.0.0.1505110.0.0.63418417,10.0.0.1,5051,10.0.0.6,34184,17,-1,-1,14,988000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1679206201.138957,1,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,-1,-1,14,612000000,20,100,0,206517,13630134,14751.214285714286,0.00033744607843137254,973581.0,0.022271460784313725,0
1679206201.138957,1,10.0.0.63621610.0.0.1806,10.0.0.6,36216,10.0.0.1,80,6,-1,-1,14,947000000,20,100,0,1408,93042,100.57142857142857,1.4868004223864837e-06,6645.857142857143,9.82492080253432e-05,0
1679206201.138957,1,10.0.0.63621410.0.0.1806,10.0.0.6,36214,10.0.0.1,80,6,-1,-1,14,965000000,20,100,0,11,842,0.7857142857142857,1.1398963730569949e-08,60.142857142857146,8.725388601036269e-07,0
